libelle_zone,insee,libelle_de_base,libelle_de_dul,fonctions,OAP,zonage_coherent,correction_zonage,art_3,art_4,art_5,art_6,art_6_opt,art_6_optD,art_71,art_72,art_73,art_74,art_8,art_9,art_10_top,art_101,art_102,art_12,art_13,art_14
roche,25495,U,Ua,1,,,0,,,99,0,,,2,0,0,0,0,1,1,2,,2,99,99
roche,25495,U,Uba,1,,,0,,,99,0,,,2,0,0,0,0,1,1,2,,2,99,99
roche,25495,U,Ub,0,,,0,,,99,2,,,1,4,4,0,0,1,1,2,5,2,99,99
roche,25495,U,Ue,0,,,0,,,1000,2,,,1,4,4,0,0,1,1,2,5,2,99,99
roche,25495,AU,1AU,0,,,0,,,99,2,,,1,4,4,0,0,1,1,2,5,2,99,99
roche,25495,AU,2AU,0,,,0,,,99,2,,,1,4,4,0,0,1,1,2,5,2,99,99
fontain,25245,U,Ua,0,,,0,,,99,0,,,0,"1,5","1,5",2,2,1,1,2,5,2,99,99
fontain,25245,U,Ub,0,,,0,,,99,0,,,0,4,4,2,2,"0,5",1,2,5,2,99,99
fontain,25245,U,1AUa,,,,,,,99,5,,,1,4,4,2,2,1,1,2,6,2,99,99
fontain,25245,U,1AUb,,,,,,,99,0,,,0,4,4,2,2,1,1,2,9,2,99,99
boussiere,25084,U,UAb,,,,,,,99,5,,,1,3,3,2,99,1,5,99,9,2,99,99
boussiere,25084,U,UAa,,,,,,,99,5,,,1,3,3,2,99,1,5,99,9,2,99,99
boussiere,25084,U,UBs,,,,,,,99,5,,,1,3,3,2,99,0.4,5,99,6.5,2,99,99
boussiere,25084,U,UBi,,,,,,,99,5,,,1,3,3,2,99,0.4,5,99,6.5,2,99,99
boussiere,25084,U,UBis,,,,,,,99,5,,,1,3,3,2,99,0.4,5,99,6.5,2,99,99
boussiere,25084,U,UBai,,,,,,,99,5,,,1,3,3,2,99,0.4,5,99,6.5,2,99,99
boussiere,25084,U,1AU,,,,,,,99,5,,,1,3,3,2,99,0.5,5,99,7.5,2,99,99
pirey,25454,U,UA,,,,,,,99,4,,,1,99,99,0,0,0.5,5,99,9,99,99,99
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
bonnay,25073,U,UAa,,0,,,1,1,99,0,99,99,1,3,3,2,0,1,6,99,9,1,99,99
bonnay,25073,U,UB,,0,,,1,1,99,,,8-RD14,0,3,3,2,0,1,5,99,6,1+2,99,99
bonnay,25073,AU,1AU,,1,,,1,1,99,4,99,99,0,3,3,2,0,1,5,99,9,1+2,99,99
bonnay,25073,AU,2AU,,2,,,99,,,,,,,,,,,,,,,,,
marchaux,25368,U,Ua,,0,,,99,88,99,0,20,3,,,,,88,1,7,99,12,99,99,99
marchaux,25368,U,Ub,,0,,,99,88,99,66,30,,,,,,88,1,7,99,12,2,99,"0,45+20s"
marchaux,25368,AU,1AU,,0,,,99,88,99,5,99,99,,,,,88,1,"20-v6-a4,5",3,99,2,99,45
marchaux,25368,AU,1AUa,,0,,,99,88,99,5,99,99,,,,,88,1,"20-v6-a4,5",2,99,2,99,60
marchaux,25368,AU,2AU,,2,,,,,,,,,,,,,,,,,,,,
vieilley,25612,U,Ua,,0,,,99,1,99,2,30,4-D*,1,"0,8","0,8",99,88,1,7,99,99,20_1-60-2 ,25 %,99
vieilley,25612,U,Us,,0,,,99,20,99,2,30,4-D*,3,3,3,2,88,1,2,99,10,20_1-60-2 ,25 %,99
vieilley,25612,U,Ub,,1,,,99,1,99,2,30,4-D*,3,3,3,2,88,1,2,99,10,20_1-60-2 ,25 %,99
vieilley,25612,U,Uj,,0,,,99,1,99,2,30,4-D*,3,3,3,2,88,"0,1",2,99,4,20_1-60-2 ,25 %,99
vieilley,25612,AU,1AU1,,0,,,99,1,99,55,99,"0,8",3,3,3,2,88,1,2,99,10,20_1-60-2 ,25 %,99
vieilley,25612,AU,1AU2,,1,,,99,1,99,55,99,"0,8",3,3,3,2,88,1,2,99,10,20_1-60-2 ,25 %,99
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RNU,0,ZC,ZC,,0,1,0,,0,99,44,,,0,,,,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,out,out,0,,1,0,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99,99,99
