libelle_zone,insee,libelle_de_base,libelle_de_dul,OAP,fonction,art_3,art_4,art_5,art_6_defaut,art_6_type,art_6_optionel,art_71,art_72,art_73,art_74,art_8,art_9,art_10_top,art_101,art_12,art_13,art_14
morre,25410,U,Ua,0,1,0,0,99,2,30,4-D*_35-RD571,1,2,2,2,99,99,7,11.5,1m60_2,99,99
morre,25410,U,Ub,1,1,0,0,99,2,30,4-D*_35-RD571,3,2,2,2,99,0.6,2,11.5,1m45_2,99,99
morre,25410,U,Uc,0,1,0,0,99,2,30,4-D*_35-RD571,3,2,2,2,99,0.6,2,11.5,1m45_2,99,99
morre,25410,U,Ur,0,1,0,0,99,2,30,4-D*_35-RD571,3,2,2,2,99,99,2,11.5,1m45_2,99,99
morre,25410,AU,1AUa,1,1,0,0,99,99,99,99,3,2,2,2,99,99,1,2,1m45_2,0.25,99
morre,25411,AU,1AUb,1,1,0,0,99,99,99,99,3,2,2,2,99,99,1,2,1m45_2,0.25,99
novillars,25429,U,Ua,0,1,0,0,99,2,30,99,0,3,3,2,99,99,7,15,99,99,99
novillars,25429,U,Ub,0,0,0,2,99,4,99,99,3,4,4,2,99,99,7,10,2,99,0.45+20s
novillars,25429,U,Uba,0,0,0,2,99,4,99,99,3,4,4,2,99,99,7,10,2,99,0.45+20s
novillars,25429,U,Ubb,0,0,0,2,99,4,99,99,3,4,4,2,99,99,7,12,2,99,0.45+20s
novillars,25429,U,Ubc,0,0,0,2,99,4,99,99,3,4,4,2,99,99,7,10,2,99,0.45+20s
novillars,25429,AU,1AU,0,0,0,2,99,3-5,99,99,1,3,3,2,99,99,2,10-v6-a4,5,2,99,0.45+20s
novillars,25429,AU,2AU,2,0,0,2,99,2,99,99,0,3,3,2,99,99,99,99,99,99,99
pelousey,25448,U,UA,0,1,0,0,99,0,20,99,3,3,3,2,5,99,5,6,1x50,99,99
pelousey,25448,U,UB,0,0,0,0,99,4,1,15-RD5_4-RD8,3,3,3,2,5,99,5,6,1x50,99,99
pelousey,25448,AU,1AUB,0,0,0,0,99,4,99,99,3,3,3,2,5,99,5,8,1x50,99,99
pelousey,25448,AU,1AUBd,0,1,0,0,99,4,99,99,3,3,3,2,5,99,5,8,1x50,99,99
pelousey,25448,AU,2AUB,2,0,0,0,99,5,99,99,0,5,5,2,99,99,99,99,99,99,99
pirey,25454,U,Ua,0,1,1,1,99,4,30,99,1,99,99,99,99,0.5,5,9,2,99,99
pirey,25454,U,Ub,0,0,1,1,99,4,1,35-RD70_25-RD75,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,U,Uba,0,0,1,2,1000,4,1,35-RD70_25-RD75,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,U,Ubb,0,0,1,1,99,4,1,35-RD70_25-RD75,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,U,Ubc,0,0,1,1,99,4,1,35-RD70_25-RD75,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,U,Ubd1,1,0,1,1,99,4,1,35-RD70_25-RD75,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,U,Ubd2,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU1,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU2,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU3,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU4,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU5,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU6,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU7,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,1AU8,1,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
pirey,25454,AU,2AU1,2,0,1,1,99,4,1,35-RD70_25-RD75_20-chemin de la roche,1,99,99,99,99,0.5,5,9,2,99,0.5
