libelle_zone,insee,libelle_de_base,libelle_de_dul,OAP,fonction,art_3,art_4,art_5,art_6_defaut,art_6_type,art_6_optionel,art_71,art_72,art_73,art_74,art_8,art_9,art_10_top,art_101,art_12,art_13,art_14
roche,25495,AU,2AU,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
roset-fluans,25502,U,U,0,0,0,2,99,99,99,99,3,4,4,2,99,99,2,10-a3.20,1m45_2,0.25,99
roset-fluans,25502,AU,1AU1,0,0,0,2,99,99,99,99,3,4,4,2,99,99,2,10-a3.20,1m45_2,0.25,99
roset-fluans,25502,AU,1AU2,0,0,0,2,99,99,99,99,3,4,4,2,99,99,2,10-a3.20,1m45_2,0.25,99
roset-fluans,25502,AU,AU,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
serre-les-sapins,25542,U,UA,0,1,1,0,99,0,99,99,1,4,4,2,3,0.5,5,9,3,99,99
serre-les-sapins,25542,U,UB,0,0,1,0,99,4,99,99,1,4,4,2,88,0.3,5,6,2,99,0.5
serre-les-sapins,25542,U,UBb,0,0,1,0,99,4,99,99,1,4,4,2,88,0.3,5,6,2,99,0.5
serre-les-sapins,25542,AU,1AU,0,0,1,0,99,4,99,99,1,4,4,2,88,0.3,5,12,2,99,0.5
serre-les-sapins,25542,AU,1AUb,10,0,1,0,99,4,99,99,1,4,4,2,88,0.3,5,6,2,99,0.5
tallenay,25557,U,UA,0,0,1,1,99,0,30,99,3,2,2,2,99,99,7,10,1,99,99
tallenay,25557,U,UB,0,0,1,1,99,99,99,99,3,2,2,2,99,0.4,7,10,2,0.4,99
tallenay,25557,AU,AU1,0,0,1,1,99,99,99,99,3,2,2,2,99,0.4,2,10,2,0.4,99
thise,25560,U,UA,0,0,1,0,99,99,30,99,1,3,3,2,99,99,1,3,2,99,99
thise,25560,U,UB,0,0,1,0,99,4,20,99,3,3,3,2,99,99,1,2,1,99,99
thise,25560,U,UBc,1,0,1,0,99,3,99,99,0,3,3,2,3,99,1,2,2,99,99
thise,25560,AU,1AU,1,0,1,0,99,4,99,99,3,3,3,2,3,99,1,2,1,99,99
thise,25560,AU,2AU,2,0,1,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
vaire-arcier,25575,U,U,0,0,99,1,99,4,99,99,3,3,3,2,99,99,5,6,1m60_2,0.2,99
vaire-arcier,25575,U,Ua,0,1,99,1,99,0,10,4,1,3,3,2,99,99,1,4,1m60_2,99,99
vaire-arcier,25575,U,Ud,1,0,99,1,99,4,1,0-voies internet,3,3,3,2,99,99,5,6,1m60_2,0.2,99
vaire-arcier,25575,U,Us,0,0,99,2,99,4,1,0-rue du molin,1,3,3,2,99,99,5,6,1m60_2,99,99
vaire-arcier,25575,AU,1AU1,1,0,99,1,99,0,10,1,1,3,3,2,99,99,5,6,1m60_2,99,99
vaire-arcier,25575,AU,1AU2,1,0,99,1,99,0,10,1,1,3,3,2,99,99,5,6,1m60_2,99,99
la veze,25611,U,UA,0,1,1,0,99,0,99,99,3,3,3,2,4,99,5,6,2,0.15,99
la veze,25611,U,UB,0,0,1,0,99,4,99,99,0,4,4,2,4,0.4,1,2,2,0.35,99
la veze,25611,AU,2AU,0,0,1,0,99,4,99,99,0,4,4,2,4,0.5,1,2,2,0.15,99
vieilley,25612,U,Ua,0,999,0,1,99,2,30,4-D*,1,0.8,0.8,99,88,1,7,99,1m60_2,0.25,99
vieilley,25612,U,Us,0,999,0,2,99,2,30,4-D*,3,3,3,2,88,1,2,10,1m60_2,0.25,99
vieilley,25612,U,Ub,1,999,0,1,99,2,30,4-D*,3,3,3,2,88,1,2,10,1m60_2,0.25,99
vieilley,25612,U,Uj,0,999,0,1,99,2,30,4-D*,3,3,3,2,88,0.1,2,4,1m60_2,0.25,99
vieilley,25612,AU,1AU1,0,999,0,1,99,55,99,0.8,3,3,3,2,88,1,2,10,1m60_2,0.25,99
vieilley,25612,AU,1AU2,1,999,0,1,99,55,99,0.8,3,3,3,2,88,1,2,10,1m60_2,0.25,99
